,tweet_id,favorites,retweets
322,833479644947025920,16051,2306
323,833124694597443584,21848,5422
324,832998151111966721,14381,2481
325,832769181346996225,0,44
326,832757312314028032,18201,4044
327,832682457690300417,12852,3306
328,832645525019123713,3150,581
329,832636094638288896,17155,3148
330,832397543355072512,12946,2497
331,832369877331693569,18554,3582
332,832273440279240704,12222,2612
333,832215909146226688,0,6930
334,832215726631055365,0,10492
335,832088576586297345,72,2
336,832040443403784192,0,10902
337,832032802820481025,19325,5226
338,831939777352105988,25980,6893
339,831926988323639298,368,37
340,831911600680497154,29952,7313
341,831670449226514432,11320,2029
342,831650051525054464,7776,2190
343,831552930092285952,9745,2569
344,831322785565769729,9927,1714
345,831315979191906304,7021,1246
346,831309418084069378,12671,2730
347,831262627380748289,12901,2306
348,830956169170665475,8625,1699
349,830583320585068544,72495,18927
350,830173239259324417,0,6414
351,830097400375152640,10662,3384
352,829878982036299777,0,5640
353,829861396166877184,13280,2203
354,829501995190984704,34417,11947
355,829449946868879360,11383,2289
356,829374341691346946,37610,10497
357,829141528400556032,26611,8348
358,829011960981237760,57467,18252
359,828801551087042563,0,3827
360,828770345708580865,27737,6614
361,828708714936930305,39721,12617
362,828650029636317184,10336,1511
363,828409743546925057,6825,1288
364,828408677031882754,8302,1441
365,828381636999917570,13704,2494
366,828376505180889089,8023,1191
367,828372645993398273,13590,3284
368,828361771580813312,2378,192
369,828046555563323392,12788,3209
370,828011680017821696,11248,2404
371,827933404142436356,21900,5883
372,827653905312006145,16775,3373
373,827600520311402496,8056,1060
374,827324948884643840,17261,3436
375,827199976799354881,11511,2522
376,826958653328592898,23462,5640
377,826848821049180160,39758,11594
378,826615380357632002,0,4440
379,826598799820865537,5564,288
380,826598365270007810,10960,2648
381,826476773533745153,20021,4729
382,826240494070030336,14430,2920
383,826204788643753985,5288,1058
384,826115272272650244,17075,3538
385,825876512159186944,11373,2106
386,825829644528148480,13851,2806
387,825535076884762624,56618,19399
388,825147591692263424,19937,5162
389,825120256414846976,0,1453
390,825026590719483904,6923,1453
391,824796380199809024,0,6189
392,824775126675836928,16298,3982
393,824663926340194305,10969,1958
394,824325613288833024,12825,11682
395,824297048279236611,16390,4372
396,824025158776213504,5195,671
397,823939628516474880,11604,3062
398,823719002937630720,0,12723
399,823699002998870016,13679,2723
400,823581115634085888,14209,2991
401,823333489516937216,764,30
402,823322678127919110,17189,4550
403,823269594223824897,0,11163
404,822975315408461824,18879,3887
405,822872901745569793,144167,49716
406,822859134160621569,14407,2578
407,822647212903690241,0,7244
408,822610361945911296,16115,3351
409,822489057087389700,19816,7244
410,822462944365645825,31304,16768
411,822244816520155136,38295,11163
412,822163064745328640,0,5459
413,821886076407029760,12411,2644
414,821813639212650496,0,3770
415,821765923262631936,9211,1873
416,821522889702862852,8756,1998
417,821421320206483457,0,6336
418,821407182352777218,12896,4944
419,821153421864615936,275,10
420,821149554670182400,9564,2274
421,821107785811234820,10503,2421
422,821044531881721856,13841,2587
423,820837357901512704,0,7586
424,820749716845686786,34521,11276
425,820690176645140481,13368,3648
426,820494788566847489,0,639
427,820446719150292993,0,2924
428,820314633777061888,3656,639
429,820078625395449857,21660,7115
430,820013781606658049,0,1337
431,819952236453363712,5831,1337
432,819924195358416896,14072,5498
433,819711362133872643,14709,3549
434,819588359383371776,10470,2225
435,819347104292290561,7905,1360
436,819238181065359361,2511,454
437,819227688460238848,25277,7586
438,819015337530290176,0,41448
439,819015331746349057,0,21390
440,819006400881917954,49327,21390
441,819004803107983360,94311,41448
442,818646164899774465,0,23631
443,818627210458333184,24272,8421
444,818614493328580609,10811,2927
445,818588835076603904,0,6989
446,818536468981415936,11968,2807
447,818307523543449600,0,9200
448,818259473185828864,12039,2577
449,818145370475810820,13484,2946
450,817908911860748288,5291,894
451,817827839487737858,56848,30752
452,817777686764523521,11732,3024
453,817536400337801217,12932,3443
454,817502432452313088,0,3847
455,817423860136083457,37618,17104
456,817415592588222464,6160,1097
457,817181837579653120,0,9688
